Product_Name,Discount,Total_Loss
Samsung Galaxy S III - 16GB - pebble blue (T-Mobile),0.4,-587.98
"3D Systems Cube Printer, 2nd Generation, White",0.5,-572.0
Fellowes PB200 Plastic Comb Binding Machine,0.7,-571.17
StarTech.com 10/100 VDSL2 Ethernet Extender Kit,0.7,-559.36
"Office Impressions End Table, 20-1/2""H x 24""W x 20""D",0.3,-552.84
O'Sullivan Plantations 2-Door Library in Landvery Oak,0.32,-546.67
Bretford “Just In Time” Height-Adjustable Multi-Task Work Tables,0.2,-542.62
"Bevis Round Bullnose 29"" High Table Top",0.4,-540.2
Bretford “Just In Time” Height-Adjustable Multi-Task Work Tables,0.5,-538.45
O'Sullivan Living Dimensions 5-Shelf Bookcases,0.32,-534.77
Hon Rectangular Conference Tables,0.5,-525.64
Fellowes PB300 Plastic Comb Binding Machine,0.8,-512.15
Bestar Classic Bookcase,0.7,-509.95
Lexmark MarkNet N8150 Wireless Print Server,0.7,-506.46
SAFCO Boltless Steel Shelving,0.2,-496.61
Avanti 4.4 Cu. Ft. Refrigerator,0.8,-470.55
"Global High-Back Leather Tilter, Burgundy",0.3,-467.36
Hon 5100 Series Wood Tables,0.5,-465.57
Ibico Ibimaster 300 Manual Binding System,0.7,-459.99
Bretford CR4500 Series Slim Rectangular Table,0.45,-459.64
Bush Advantage Collection Racetrack Conference Table,0.45,-458.15
Kensington 7 Outlet MasterPiece Power Center,0.8,-453.85
Premier Automatic Letter Opener,0.2,-449.49
"Global Wood Trimmed Manager's Task Chair, Khaki",0.3,-448.53
Bretford Rectangular Conference Table Tops,0.4,-447.59
Bevis Rectangular Conference Tables,0.5,-446.7
"Bevis Oval Conference Table, Walnut",0.5,-430.62
Chromcraft Round Conference Tables,0.4,-430.5
Novimex Swivel Fabric Task Chair,0.3,-430.29
Tenex Antistatic Computer Chair Mats,0.6,-427.45
"Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting",0.6,-426.1
Apple iPhone 5,0.4,-422.39
BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,0.45,-420.0
Chromcraft Rectangular Conference Tables,0.4,-417.07
GBC DocuBind P100 Manual Binding Machine,0.7,-414.95
Bevis Boat-Shaped Conference Table,0.5,-408.89
Bevis 44 x 96 Conference Tables,0.5,-407.68
Hoover Shoulder Vac Commercial Portable Vacuum,0.8,-393.6
Fellowes Officeware Wire Shelving,0.2,-388.07
Panasonic KX MC6040 Color Laser Multifunction Printer,0.7,-386.96
Samsung Galaxy Note 2,0.4,-386.39
Hon 5100 Series Wood Tables,0.4,-384.09
"Sauder Forest Hills Library with Doors, Woodland Oak Finish",0.5,-376.69
LG G2,0.4,-374.99
"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",0.8,-364.74
Hon 4-Shelf Metal Bookcases,0.7,-363.53
"Office Star - Contemporary Task Swivel chair with Loop Arms, Charcoal",0.3,-357.58
Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,0.6,-356.73
Jawbone MINI JAMBOX Wireless Bluetooth Speaker,0.2,-350.67
"Iceberg OfficeWorks 42"" Round Tables",0.4,-339.7
GBC DocuBind 200 Manual Binding Machine,0.7,-336.78
GBC DocuBind 300 Electric Binding Machine,0.8,-336.63
Tennsco Double-Tier Lockers,0.2,-330.78
Euro Pro Shark Stick Mini Vacuum,0.8,-329.29
"Brother MFC-9340CDW LED All-In-One Printer, Copier Scanner",0.7,-319.19
"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",0.32,-317.15
Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,0.6,-312.06
BPI Conference Tables,0.5,-306.7
KI Adjustable-Height Table,0.5,-306.09
Bretford Rectangular Conference Table Tops,0.5,-304.67
"Bevis Traditional Conference Table Top, Plinth Base",0.3,-303.36
Catalog Binders with Expanding Posts,0.7,-302.76
Bretford CR8500 Series Meeting Room Furniture,0.5,-300.74
Global Enterprise Series Seating High-Back Swivel/Tilt Chairs,0.3,-298.08
Bretford CR4500 Series Slim Rectangular Table,0.4,-295.98
"Lesro Round Back Collection Coffee Table, End Table",0.4,-295.73
Hon 94000 Series Round Tables,0.2,-293.22
"Rubbermaid ClusterMat Chairmats, Mat Size- 66"" x 60"", Lip 20"" x 11"" -90 Degree Angle",0.6,-292.99
BPI Conference Tables,0.4,-292.1
Riverside Furniture Stanwyck Manor Table Series,0.4,-283.98
StarTech.com 10/100 VDSL2 Ethernet Extender Kit,0.4,-279.68
Wilson Electronics DB Pro Signal Booster,0.4,-279.24
Okidata C610n Printer,0.5,-272.58
GBC VeloBinder Electric Binding Machine,0.7,-266.16
KI Conference Tables,0.5,-265.13
"Iceberg OfficeWorks 42"" Round Tables",0.5,-264.21
Bady BDG101FRU Card Printer,0.4,-264.0
Hon 2111 Invitation Series Corner Table,0.2,-263.81
Hon Every-Day Series Multi-Task Chairs,0.3,-263.17
"Tenex Carpeted, Granite-Look or Clear Contemporary Contour Shape Chair Mats",0.6,-262.33
Hon 2090 “Pillow Soft” Series Mid Back Swivel/Tilt Chairs,0.3,-258.5
Cisco Unified IP Phone 7945G VoIP phone,0.4,-255.74
BPI Conference Tables,0.45,-255.59
Xerox WorkCentre 6505DN Laser Multifunction Printer,0.4,-252.0
Okidata B401 Printer,0.7,-251.99
Hoover Commercial Lightweight Upright Vacuum with E-Z Empty Dirt Cup,0.8,-251.19
"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",0.5,-250.54
Samsung Galaxy S4,0.4,-250.4
Bretford Rectangular Conference Table Tops,0.45,-248.25
Sauder Barrister Bookcases,0.7,-247.8
High-Back Leather Manager's Chair,0.3,-245.68
O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,0.5,-244.32
KI Adjustable-Height Table,0.4,-242.46
APC 7 Outlet Network SurgeArrest Surge Protector,0.8,-241.44
O'Sullivan Living Dimensions 3-Shelf Bookcases,0.5,-241.18
"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",0.7,-240.78
"Tenex ""The Solids"" Textured Chair Mats",0.6,-240.66
Balt Split Level Computer Training Table,0.5,-235.88
GBC DocuBind P50 Personal Binding Machine,0.7,-235.45
Ibico Hi-Tech Manual Binding System,0.7,-228.74
Belkin 5 Outlet SurgeMaster Power Centers,0.8,-226.64
Honeywell Enviracaire Portable Air Cleaner for up to 8 x 10 Room,0.8,-225.56
Cisco IP Phone 7961G-GE VoIP phone,0.4,-225.24
LG Exalt,0.4,-223.07
Tenex Antistatic Computer Chair Mats,0.2,-222.27
O'Sullivan Living Dimensions 5-Shelf Bookcases,0.2,-220.98
"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h",0.2,-220.78
Bretford CR4500 Series Slim Rectangular Table,0.3,-219.37
"SAFCO PlanMaster Boards, 60w x 37-1/2d, White Melamine",0.5,-218.87
Safco Industrial Wire Shelving System,0.2,-218.35
Nortel Meridian M5316 Digital phone,0.4,-217.52
Bestar Classic Bookcase,0.5,-216.98
Hon 2111 Invitation Series Corner Table,0.4,-213.56
Office Star Flex Back Scooter Chair with White Frame,0.3,-213.08
"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",0.5,-211.47
"Bevis Round Conference Table Top, X-Base",0.5,-209.77
O'Sullivan Plantations 2-Door Library in Landvery Oak,0.5,-205.0
"Hon 30"" x 60"" Table with Locking Drawer",0.4,-204.64
"Lesro Round Back Collection Coffee Table, End Table",0.5,-202.63
O'Sullivan 4-Shelf Bookcase in Odessa Pine,0.5,-199.62
"Global High-Back Leather Tilter, Burgundy",0.2,-199.24
"Chromcraft Bull-Nose Wood Round Conference Table Top, Wood Base",0.3,-198.24
Eldon Cleatmat Plus Chair Mats for High Pile Carpets,0.6,-194.82
Mitel MiVoice 5330e IP Phone,0.4,-192.49
"Hon Metal Bookcases, Black",0.7,-191.65
Tripp Lite Isotel 8 Ultra 8 Outlet Metal Surge,0.8,-191.62
"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled",0.7,-190.85
O'Sullivan Manor Hill 2-Door Library in Brianna Oak,0.32,-190.03
Polycom SoundPoint IP 450 VoIP phone,0.4,-189.72
"Wilson Jones Elliptical Ring 3 1/2"" Capacity Binders, 800 sheets",0.7,-188.75
Catalog Binders with Expanding Posts,0.8,-188.38
Tripp Lite Isotel 6 Outlet Surge Protector with Fax/Modem Protection,0.8,-186.57
High-Back Leather Manager's Chair,0.2,-185.89
"Belkin 19"" Vented Equipment Shelf, Black",0.2,-185.84
Global Commerce Series High-Back Swivel/Tilt Chairs,0.3,-185.24
Chromcraft Rectangular Conference Tables,0.5,-184.84
Global Low Back Tilter Chair,0.2,-183.78
O'Sullivan 2-Shelf Heavy-Duty Bookcases,0.7,-183.63
"Eldon ""L"" Workstation Diamond Chairmat",0.6,-182.35
Fellowes Command Center 5-outlet power strip,0.8,-179.78
Eureka Sanitaire  Commercial Upright,0.8,-178.97
Hon 2111 Invitation Series Straight Table,0.3,-178.87
Belkin F9S820V06 8 Outlet Surge,0.8,-178.64
Acco 6 Outlet Guardian Premium Plus Surge Suppressor,0.8,-177.52
"Bevis Round Conference Table Top, X-Base",0.2,-177.5
Ibico Laser Imprintable Binding System Covers,0.7,-176.06
Avery Arch Ring Binders,0.8,-172.56
Epson Perfection V600 Photo Scanner,0.7,-172.49
"Chromcraft Bull-Nose Wood 48"" x 96"" Rectangular Conference Tables",0.5,-170.8
"Global Geo Office Task Chair, Gray",0.2,-170.06
"Bevis Oval Conference Table, Walnut",0.3,-169.64
"Deflect-o EconoMat Studded, No Bevel Mat for Low Pile Carpeting",0.6,-168.59
"Bush Andora Bookcase, Maple/Graphite Gray Finish",0.5,-167.99
"Premier Elliptical Ring Binder, Black",0.7,-167.42
Chromcraft Round Conference Tables,0.45,-167.32
Office Impressions Heavy Duty Welded Shelving & Multimedia Storage Drawers,0.2,-167.27
"Eureka The Boss Plus 12-Amp Hard Box Upright Vacuum, Red",0.8,-166.39
Harmony Air Purifier,0.8,-166.32
Cisco 8961 IP Phone Charcoal,0.7,-164.95
Global Enterprise Series Seating High-Back Swivel/Tilt Chairs,0.2,-162.59
Laminate Occasional Tables,0.3,-160.3
Sensible Storage WireTech Storage Systems,0.2,-159.7
Bretford Rectangular Conference Table Tops,0.3,-157.97
Cisco 8x8 Inc. 6753i IP Business Phone System,0.4,-157.94
"GBC Velobind Prepunched Cover Sets, Regency Series",0.7,-157.16
Hon Rectangular Conference Tables,0.4,-157.01
"Hon Practical Foundations 30 x 60 Training Table, Light Gray/Charcoal",0.45,-157.01
"Bevis Traditional Conference Table Top, Plinth Base",0.4,-153.35
KI Conference Tables,0.4,-153.12
Bush Advantage Collection Racetrack Conference Table,0.3,-152.72
Logitech VX Revolution Cordless Laser Mouse for Notebooks (Black),0.2,-151.19
Global Deluxe High-Back Office Chair in Storm,0.2,-149.59
Belkin Premiere Surge Master II 8-outlet surge protector,0.8,-148.65
"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",0.8,-148.63
"Electrix Architect's Clamp-On Swing Arm Lamp, Black",0.6,-147.96
Safco Industrial Wire Shelving,0.2,-146.86
GBC ProClick 150 Presentation Binding System,0.7,-145.35
GBC VeloBinder Electric Binding Machine,0.8,-145.18
"Wilson Jones Ledger-Size, Piano-Hinge Binder, 2"", Blue",0.8,-144.25
"Office Star - Contemporary Task Swivel chair with Loop Arms, Charcoal",0.2,-144.08
"Bush Westfield Collection Bookcases, Dark Cherry Finish",0.7,-143.79
Bevis 44 x 96 Conference Tables,0.4,-142.07
Bevis Rectangular Conference Tables,0.4,-140.14
Novimex High-Tech Fabric Mesh Task Chair,0.2,-138.41
Sauder Camden County Collection Library,0.32,-137.98
Lock-Up Easel 'Spel-Binder',0.7,-137.8
"Premier Elliptical Ring Binder, Black",0.8,-136.37
"Sauder Mission Library with Doors, Fruitwood Finish",0.32,-136.22
Space Solutions Commercial Steel Shelving,0.2,-135.76
Tenex Chairmats For Use with Hard Floors,0.6,-135.12
"Global Wood Trimmed Manager's Task Chair, Khaki",0.2,-133.74
"Carina Mini System Audio Rack, Model AR050B",0.2,-132.07
Samsung Galaxy Note 3,0.4,-131.99
Riverside Furniture Stanwyck Manor Table Series,0.3,-131.95
Carina Media Storage Towers in Natural & Black,0.2,-131.72
"Carina 42""Hx23 3/4""W Media Storage Unit",0.2,-131.19
Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center,0.8,-131.12
GBC Premium Transparent Covers with Diagonal Lined Pattern,0.8,-127.56
Kensington 4 Outlet MasterPiece Compact Power Control Center,0.8,-126.86
Global Comet Stacking Arm Chair,0.3,-126.75
O'Sullivan Cherrywood Estates Traditional Barrister Bookcase,0.3,-126.48
"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units",0.2,-125.77
Office Star - Mesh Screen back chair with Vinyl seat,0.3,-124.43
ClearOne CHATAttach 160 - speaker phone,0.4,-124.0
Tennsco Industrial Shelving,0.2,-123.25
"Hon Practical Foundations 30 x 60 Training Table, Light Gray/Charcoal",0.4,-122.88
Hon Multipurpose Stacking Arm Chairs,0.3,-121.3
Epson TM-T88V Direct Thermal Printer - Monochrome - Desktop,0.4,-121.27
Bretford CR8500 Series Meeting Room Furniture,0.4,-120.29
Avery Arch Ring Binders,0.7,-120.27
Bevis Round Conference Table Top & Single Column Base,0.3,-118.54
Hon Racetrack Conference Tables,0.3,-118.13
Global Adaptabilities Conference Tables,0.4,-118.01
"Bush Birmingham Collection Bookcase, Dark Cherry",0.3,-117.88
Global Deluxe Steno Chair,0.3,-117.01
Polycom CX600 IP Phone VoIP phone,0.4,-116.98
"Chromcraft 48"" x 96"" Racetrack Double Pedestal Table",0.4,-115.43
GE 2-Jack Phone Line Splitter,0.4,-115.35
O'Sullivan Living Dimensions 2-Shelf Bookcases,0.15,-114.93
"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",0.3,-114.56
KI Adjustable-Height Table,0.45,-114.35
Apple iPhone 5S,0.4,-114.0
"Bush Westfield Collection Bookcases, Medium Cherry Finish",0.5,-113.64
Vinyl Sectional Post Binders,0.7,-113.1
Safco Industrial Shelving,0.2,-112.99
Bevis 36 x 72 Conference Tables,0.4,-112.04
"Premium Transparent Presentation Covers, No Pattern/Clear, 8 1/2"" x 11""",0.7,-111.69
Zebra GX420t Direct Thermal/Thermal Transfer Printer,0.5,-111.5
Balt Solid Wood Rectangular Table,0.45,-110.76
Chromcraft Round Conference Tables,0.3,-109.8
3M Replacement Filter for Office Air Cleaner for 20' x 33' Room,0.8,-108.83
"Global Leather & Oak Executive Chair, Burgundy",0.2,-108.64
Polycom CX300 Desktop Phone USB VoIP phone,0.4,-107.99
Motorola Droid Maxx,0.4,-107.99
Compact Automatic Electric Letter Opener,0.2,-107.38
"SAFCO PlanMaster Boards, 60w x 37-1/2d, White Melamine",0.4,-106.39
Eldon Advantage Foldable Chair Mats for Low Pile Carpets,0.6,-105.69
Premier Electric Letter Opener,0.2,-104.27
"Bevis Round Conference Table Top, X-Base",0.4,-103.99
Global Deluxe Steno Chair,0.2,-103.92
"Bush Cubix Collection Bookcases, Fully Assembled",0.7,-103.86
Carina Double Wide Media Storage Towers in Natural & Black,0.2,-103.65
Satellite Sectional Post Binders,0.8,-103.32
Bush Advantage Collection Round Conference Table,0.45,-102.05
GBC Standard Therm-A-Bind Covers,0.7,-101.67
Polycom VVX 310 VoIP phone,0.4,-100.79
Motorola HK250 Universal Bluetooth Headset,0.2,-99.32
Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,0.2,-99.18
"Atlantic Metals Mobile 2-Shelf Bookcases, Custom Colors",0.7,-98.8
Okidata C331dn Printer,0.4,-97.72
Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,0.3,-96.11
"Situations Contoured Folding Chairs, 4/Set",0.3,-95.82
"Bush Andora Conference Table, Maple/Graphite Gray Finish",0.3,-95.75
Bush Advantage Collection Round Conference Table,0.3,-95.67
"C-Line Cubicle Keepers Polyproplyene Holder w/Velcro Back, 8-1/2x11, 25/Bx",0.6,-95.25
Balt Solid Wood Rectangular Table,0.4,-94.94
Office Star - Mesh Screen back chair with Vinyl seat,0.2,-94.31
"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray",0.5,-93.69
Fellowes Stor/Drawer Steel Plus Storage Drawers,0.2,-93.52
Samsung Convoy 3,0.4,-93.23
"Wilson Jones Elliptical Ring 3 1/2"" Capacity Binders, 800 sheets",0.8,-92.88
Jabra SPEAK 410 Multidevice Speakerphone,0.4,-92.7
Wilson Jones Legal Size Ring Binders,0.8,-92.36
Rush Hierlooms Collection Rich Wood Bookcases,0.32,-91.76
Fellowes 8 Outlet Superior Workstation Surge Protector w/o Phone/Fax/Modem Protection,0.8,-90.77
Wilson Jones Century Plastic Molded Ring Binders,0.7,-90.76
"Office Star - Contemporary Task Swivel chair with 2-way adjustable arms, Plum",0.3,-90.38
"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",0.32,-90.29
DMI Eclipse Executive Suite Bookcases,0.2,-90.18
Large Capacity Hanging Post Binders,0.7,-89.82
Polycom SoundStation2 EX Conference phone,0.4,-89.09
Bush Somerset Collection Bookcase,0.5,-89.07
Global Super Steno Chair,0.3,-87.34
"Global Armless Task Chair, Royal Blue",0.3,-87.2
"Conquest 14 Commercial Heavy-Duty Upright Vacuum, Collection System, Accessory Kit",0.8,-87.15
First Data FD10 PIN Pad,0.2,-86.9
GBC Twin Loop Wire Binding Elements,0.7,-86.53
Fellowes Bankers Box Stor/Drawer Steel Plus,0.2,-86.35
Acco D-Ring Binder w/DublLock,0.8,-86.16
Novimex Fabric Task Chair,0.2,-85.37
Belkin 8 Outlet Surge Protector,0.8,-85.24
"Eldon ""L"" Workstation Diamond Chairmat",0.2,-85.1
"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",0.2,-84.78
"Barricks 18"" x 48"" Non-Folding Utility Table with Bottom Storage Shelf",0.4,-84.67
"Performers Binder/Pad Holder, Black",0.8,-84.09
Bevis Boat-Shaped Conference Table,0.4,-83.88
"SAFCO PlanMaster Heigh-Adjustable Drafting Table Base, 43w x 30d x 30-37h, Black",0.4,-83.87
O'Sullivan 5-Shelf Heavy-Duty Bookcases,0.5,-81.94
Geemarc AmpliPOWER60,0.4,-81.66
Novimex Swivel Fabric Task Chair,0.2,-81.53
O'Sullivan Manor Hill 2-Door Library in Brianna Oak,0.2,-81.44
"Wilson Jones Ledger-Size, Piano-Hinge Binder, 2"", Blue",0.7,-81.14
Google Nexus 5,0.4,-81.0
"GBC Twin Loop Wire Binding Elements, 9/16"" Spine, Black",0.8,-80.21
Global Ergonomic Managers Chair,0.3,-79.63
GBC ProClick Punch Binding System,0.8,-79.34
Eldon Executive Woodline II Cherry Finish Desk Accessories,0.6,-78.51
Eldon Cleatmat Chair Mats for Medium Pile Carpets,0.6,-78.25
Hon 61000 Series Interactive Training Tables,0.4,-78.2
Fellowes Superior 10 Outlet Split Surge Protector,0.8,-77.64
"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",0.6,-77.63
Wilson Jones Heavy-Duty Casebound Ring Binders with Metal Hinges,0.8,-77.59
"Tennsco Stur-D-Stor Boltless Shelving, 5 Shelves, 24"" Deep, Sand",0.2,-77.13
"Chromcraft 48"" x 96"" Racetrack Double Pedestal Table",0.3,-76.95
Avery Recycled Flexi-View Covers for Binding Systems,0.8,-76.94
"Eldon Base for stackable storage shelf, platinum",0.2,-75.93
Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting,0.6,-75.84
Fellowes Bankers Box Recycled Super Stor/Drawer,0.2,-75.57
"Avery Trapezoid Extra Heavy Duty 4"" Binders",0.7,-75.49
Canvas Sectional Post Binders,0.7,-74.85
Wireless Extenders zBoost YX545 SOHO Signal Booster,0.4,-73.71
Novimex Fabric Task Chair,0.3,-73.18
Fellowes Bankers Box Staxonsteel Drawer File/Stacking System,0.2,-72.78
Global Low Back Tilter Chair,0.3,-72.71
Wilson SignalBoost 841262 DB PRO Amplifier Kit,0.4,-71.99
Jabra Supreme Plus Driver Edition Headset,0.4,-71.99
Case Logic 2.4GHz Wireless Keyboard,0.2,-71.99
"Chromcraft Bull-Nose Wood Round Conference Table Top, Wood Base",0.5,-71.89
"Sauder Facets Collection Library, Sky Alder Finish",0.3,-71.81
Hewlett-Packard Deskjet F4180 All-in-One Color Ink-jet - Printer / copier / scanner,0.7,-71.4
Acco Smartsocket Color-Coded Six-Outlet AC Adapter Model Surge Protectors,0.8,-71.3
"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",0.6,-70.96
"Belkin 19"" Center-Weighted Shelf, Gray",0.2,-70.78
"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",0.3,-70.49
O'Sullivan Living Dimensions 3-Shelf Bookcases,0.15,-70.34
KI Conference Tables,0.3,-69.47
GBC Linen Binding Covers,0.8,-69.4
Hon Deluxe Fabric Upholstered Stacking Chairs,0.3,-68.31
Novimex Turbo Task Chair,0.2,-68.14
"Bevis Round Conference Table Top, X-Base",0.3,-68.13
"Office Star - Contemporary Task Swivel chair with 2-way adjustable arms, Plum",0.2,-68.11
Aastra 57i VoIP phone,0.4,-67.88
Fellowes Econo/Stor Drawers,0.2,-67.85
Flat Face Poster Frame,0.6,-67.82
"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",0.32,-67.67
"Sauder Forest Hills Library, Woodland Oak Finish",0.2,-67.67
Kensington 6 Outlet SmartSocket Surge Protector,0.8,-67.62
"Fellowes Strictly Business Drawer File, Letter/Legal Size",0.2,-67.61
"Howard Miller 16"" Diameter Gallery Wall Clock",0.6,-67.14
Balt Split Level Computer Training Table,0.4,-66.6
"Global Leather & Oak Executive Chair, Burgundy",0.3,-66.39
Electrix Halogen Magnifier Lamp,0.6,-66.06
Clearsounds A400,0.4,-64.67
DYMO CardScan Personal V9 Business Card Scanner,0.7,-64.0
Global Highback Leather Tilter in Burgundy,0.3,-63.69
V7 USB Numeric Keypad,0.2,-63.68
"Sauder Camden County Collection Libraries, Planked Cherry Finish",0.2,-63.24
GBC Wire Binding Strips,0.7,-62.85
Belkin 8 Outlet SurgeMaster II Gold Surge Protector,0.8,-62.38
"Tenex Traditional Chairmats for Hard Floors, Average Lip, 36"" x 48""",0.6,-61.87
"Chromcraft Bull-Nose Wood 48"" x 96"" Rectangular Conference Tables",0.3,-60.61
i.Sound Portable Power - 8000 mAh,0.2,-60.41
Microsoft Natural Keyboard Elite,0.2,-59.88
"Sauder Forest Hills Library, Woodland Oak Finish",0.15,-59.21
Space Solutions HD Industrial Steel Shelving.,0.2,-58.63
OtterBox Commuter Series Case - Samsung Galaxy S4,0.2,-58.48
Ibico Plastic Spiral Binding Combs,0.7,-58.37
"Bush Andora Conference Table, Maple/Graphite Gray Finish",0.4,-58.13
Fellowes Staxonsteel Drawer Files,0.2,-57.95
Binding Machine Supplies,0.7,-57.76
"Contico 72""H Heavy-Duty Storage System",0.2,-57.37
Polycom SoundPoint Pro SE-225 Corded phone,0.4,-57.12
Digium D40 VoIP phone,0.4,-56.76
Global Commerce Series Low-Back Swivel/Tilt Chairs,0.3,-56.54
Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,0.3,-56.34
"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",0.3,-55.67
Cisco CP-7937G Unified IP Conference Station Phone,0.5,-55.66
36X48 HARDFLOOR CHAIRMAT,0.6,-55.6
GBC VeloBind Cover Sets,0.8,-55.58
Aluminum Screw Posts,0.7,-54.94
Global Highback Leather Tilter in Burgundy,0.2,-54.59
Belkin F9G930V10-GRY 9 Outlet Surge,0.8,-54.55
DMI Arturo Collection Mission-style Design Wood Chair,0.3,-54.35
JBL Micro Wireless Portable Bluetooth Speaker,0.4,-53.99
Acco D-Ring Binder w/DublLock,0.7,-53.88
GBC ProClick Punch Binding System,0.7,-53.74
"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",0.6,-53.71
"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",0.2,-53.53
Sauder Cornerstone Collection Library,0.5,-53.29
Tripp Lite TLP810NET Broadband Surge for Modem/Fax,0.8,-53.01
Fellowes Basic Home/Office Series Surge Protectors,0.8,-52.96
"Sauder Camden County Collection Libraries, Planked Cherry Finish",0.32,-52.89
"Fellowes Premier Superior Surge Suppressor, 10-Outlet, With Phone and Remote",0.8,-52.83
12-1/2 Diameter Round Wall Clock,0.6,-52.75
